StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
alf.27.nea,2020,13474,2597,169048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ane.27.8,2020,14048,2598,169051,NA,NA,NA,21000,NA,NA,NA,NA,1,NA
ane.27.9a,2020,13737,2637,169052,NA,NA,0.464867415648765,0.283427409840826,NA,NA,NA,NA,NA,NA
anf.27.3a46,2020,13966,2633,169054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ank.27.78abd,2020,13672,2626,195875,NA,NA,NA,NA,1,NA,NA,NA,NA,16
ank.27.8c9a,2020,13745,2627,169050,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
bli.27.5b67,2020,13564,2564,169062,0.17,0.12,75037,54000,0.12,75037,NA,NA,9,NA
bll.27.22-32,2020,13692,2566,169064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bll.27.3a47de,2020,13472,2567,169065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bsf.27.nea,2020,13724,2545,169067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bss.27.4bc7ad-h,2020,13663,2619,169069,0.254,0.1815,14439,10313,0.1713,14439,NA,NA,0,NA
bss.27.6a7bj,2020,13640,2559,169072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bss.27.8ab,2020,13866,2648,169070,0.172,0.123,16688,11920,0.123,16688,NA,NA,0,NA
bwp.27.2729-32,2020,13341,2525,169099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bwq.27.2425,2020,13363,2551,169097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bwq.27.2628,2020,13689,2524,169098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cap.27.1-2,2020,13985,2570,169073,NA,NA,NA,2e+05,NA,NA,NA,NA,1,NA
cap.27.2a514,2020,14019,2571,169074,NA,NA,NA,150000,NA,NA,NA,NA,0,NA
cod.21.1,2020,13712,2618,169084,NA,NA,5983,4346,0.27,5983,NA,NA,1,NA
cod.2127.1f14,2020,13705,2639,169089,2.34,1.33,14803,10354,0.46,14803,NA,NA,1,NA
cod.27.1-2,2020,13411,2611,169079,0.74,0.4,460000,220000,0.4,460000,NA,NA,3,NA
cod.27.1-2coast,2020,13720,2574,169080,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
cod.27.21,2020,13838,2603,169086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod.27.22-24,2020,13377,2655,169075,1.45,0.99,21876,14500,0.26,21876,NA,NA,1,NA
cod.27.24-32,2020,13734,2656,169076,NA,NA,114723,102702,NA,NA,NA,NA,0,NA
cod.27.47d20,2020,13740,2572,169077,0.54,0.39,150000,107000,0.31,150000,NA,NA,1,NA
cod.27.5b1,2020,14022,2641,169082,0.9,0.69,29226.38,21000,0.23,29226.38,NA,NA,1,NA
cod.27.6b,2020,13626,2577,169087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod.27.7a,2020,14026,2623,169085,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
cod.27.7e-k,2020,14014,2573,169078,1.13,0.77,5800,4200,0.29,5800,NA,NA,1,NA
dab.27.22-32,2020,13701,2580,169092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgs.27.nea,2020,13967,2582,169094,NA,NA,NA,NA,NA,677068,NA,NA,0,NA
ele.2737.nea,2020,14025,2590,169095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gfb.27.nea,2020,13450,2584,169102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ghl.27.561214,2020,13424,2586,169104,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
gug.27.3a47d,2020,13493,2587,169105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
had.27.1-2,2020,13429,2662,169110,0.77,0.47,80000,50000,0.35,80000,NA,NA,3,NA
had.27.46a20,2020,13515,2536,169108,0.39,0.28,132000,94000,0.19,132000,NA,NA,0,NA
had.27.5b,2020,14021,2642,169111,0.54,0.4,22843,16780,0.165,22843,NA,NA,1,NA
had.27.6b,2020,13750,2625,169114,1.06,0.71,3712,2474,0.168,3712,NA,NA,1,NA
had.27.7a,2020,13678,2621,169113,0.53,0.38,4160,2994,0.28,4280,NA,NA,0,NA
had.27.7b-k,2020,13978,2589,169109,1.4,0.71,12822,9227,0.353,12822,NA,NA,0,NA
her.27.1-24a514a,2020,13883,2503,169123,0.291,0.227,3184000,2500000,0.157,3184000,NA,NA,2,NA
her.27.20-24,2020,13313,2635,169118,0.45,0.35,150000,120000,0.31,150000,NA,NA,0,NA
her.27.25-2932,2020,13344,2396,169115,0.59,0.43,460000,330000,0.21,460000,NA,NA,1,NA
her.27.28,2020,13351,2504,169124,0.88,0.63,57100,40800,0.32,60000,NA,NA,1,NA
her.27.3031,2020,13375,2602,169673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
